family,N,rep,block_size,n_layers,n_blocks,global_bd_ratio,weighted_mean_bd,unweighted_mean_bd,additivity_ratio,coverage,patch_std,patch_cv,min_patch_nodes,max_patch_nodes
Lor3D,20,7,3,4,2,0.4296875,0.364375,0.364375,0.848,0.95,0.0,0.0,1,19
Lor4D,20,0,3,3,1,0.20081632653061218,0.20081632653061215,0.20081632653061218,0.9999999999999999,1.0,0.0,0.0,20,20
Lor4D,20,1,3,3,1,0.12051039697542537,0.12051039697542536,0.12051039697542537,0.9999999999999999,1.0,0.0,0.0,20,20
Lor4D,20,2,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor4D,20,3,3,3,1,0.07956104252400548,0.07956104252400548,0.07956104252400548,1.0,1.0,0.0,0.0,20,20
Lor4D,20,4,3,3,1,0.19444444444444442,0.19444444444444442,0.19444444444444442,1.0,1.0,0.0,0.0,20,20
Lor4D,20,5,3,3,1,0.2001953125,0.2001953125,0.2001953125,1.0,1.0,0.0,0.0,20,20
Lor4D,20,6,3,3,1,0.1025390625,0.1025390625,0.1025390625,1.0,1.0,0.0,0.0,20,20
Lor4D,20,7,3,3,1,0.15111111111111108,0.15111111111111108,0.15111111111111108,1.0,1.0,0.0,0.0,20,20
Lor5D,20,0,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,1,3,3,1,0.06867845993756509,0.06867845993756509,0.06867845993756509,1.0,1.0,0.0,0.0,20,20
Lor5D,20,2,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,3,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,4,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
Lor5D,20,5,3,3,1,0.07653061224489792,0.07653061224489792,0.07653061224489792,1.0,1.0,0.0,0.0,20,20
Lor5D,20,6,3,3,1,0.0498866213151928,0.0498866213151928,0.0498866213151928,1.0,1.0,0.0,0.0,20,20
Lor5D,20,7,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,20,20
KR_like,20,0,3,3,1,0.5990338164251209,0.5990338164251209,0.5990338164251209,1.0,1.0,0.0,0.0,20,20
KR_like,20,1,3,3,1,0.6228373702422144,0.6228373702422144,0.6228373702422144,1.0,1.0,0.0,0.0,20,20
KR_like,20,2,3,3,1,0.6067816775728734,0.6067816775728734,0.6067816775728734,1.0,1.0,0.0,0.0,20,20
KR_like,20,3,3,3,1,0.5150884495317378,0.5150884495317378,0.5150884495317378,1.0,1.0,0.0,0.0,20,20
KR_like,20,4,3,3,1,0.6487889273356402,0.6487889273356402,0.6487889273356402,1.0,1.0,0.0,0.0,20,20
KR_like,20,5,3,3,1,0.5972991689750693,0.5972991689750693,0.5972991689750693,1.0,1.0,0.0,0.0,20,20
KR_like,20,6,3,3,1,0.588235294117647,0.588235294117647,0.588235294117647,1.0,1.0,0.0,0.0,20,20
KR_like,20,7,3,3,1,0.6099558916194077,0.6099558916194077,0.6099558916194077,1.0,1.0,0.0,0.0,20,20
Lor2D,28,0,3,7,3,2.4225057670126873,0.43183064874662286,0.42974145891043397,0.1782578413751868,0.9642857142857143,0.056408125577100565,0.13126060892546337,1,14
Lor2D,28,1,3,8,3,2.565838614757809,0.32161078717201175,0.2522675736961451,0.12534334206454711,1.0,0.18109561048711212,0.7178711390994738,4,13
Lor2D,28,2,3,8,3,2.7161053721900283,0.3556746031746032,0.2781481481481482,0.13095022262991898,1.0,0.19793238512414485,0.7116077760788162,4,13
Lor2D,28,3,3,7,3,1.88713891711424,0.24751164082190613,0.25641580161476357,0.1311570857753249,0.9642857142857143,0.04808246828143027,0.1875175709867868,1,16
Lor2D,28,4,3,7,3,2.210059171597633,0.38476080246913585,0.3873003472222223,0.1740952493099972,0.9642857142857143,0.022855902777777742,0.05901338055001447,1,15
Lor2D,28,5,3,6,2,2.329122995610499,0.3745099649465554,0.3745099649465554,0.16079441302686148,1.0,0.2916697282601649,0.7788036515978627,14,14
Lor2D,28,6,3,8,3,2.3924168349452652,0.45738746390351626,0.3570986920332937,0.1911821791347579,1.0,0.2532885376268654,0.7092956184875925,4,13
Lor2D,28,7,3,7,3,2.5055427893235023,0.39724130402356106,0.4277983274099888,0.15854500897620527,1.0,0.09538835511081978,0.22297505389590386,2,13
Lor3D,28,0,3,5,2,1.0951999999999997,0.1905539358600583,0.1404081632653061,0.17399008022284365,1.0,0.1404081632653061,1.0,9,19
Lor3D,28,1,3,4,2,0.7034857401539157,0.2662721893491124,0.3106508875739645,0.3785040323501862,1.0,0.0,0.0,4,24
Lor3D,28,2,3,3,1,0.3395061728395062,0.3395061728395062,0.3395061728395062,1.0,1.0,0.0,0.0,28,28
Lor3D,28,3,3,3,1,0.23011176857330706,0.23011176857330704,0.23011176857330706,0.9999999999999999,1.0,0.0,0.0,28,28
Lor3D,28,4,3,4,2,0.700952380952381,0.23787485242030693,0.28958677685950407,0.3393595041322313,1.0,0.0,0.0,5,23
Lor3D,28,5,3,3,1,0.6412447950909489,0.6412447950909489,0.6412447950909489,1.0,1.0,0.0,0.0,28,28
Lor3D,28,6,3,4,2,0.6018518518518519,0.2692507804370448,0.3277835587929241,0.4473705274953975,1.0,0.0,0.0,5,23
Lor3D,28,7,3,6,2,0.85235595703125,0.2922222222222222,0.2748148148148148,0.34284059354736046,1.0,0.034814814814814854,0.12668463611859854,7,21
Lor4D,28,0,3,3,1,0.2742055478796897,0.2742055478796897,0.2742055478796897,1.0,1.0,0.0,0.0,28,28
Lor4D,28,1,3,3,1,0.23223177908555917,0.23223177908555917,0.23223177908555917,1.0,1.0,0.0,0.0,28,28
Lor4D,28,2,3,3,1,0.1838134430727023,0.1838134430727023,0.1838134430727023,1.0,1.0,0.0,0.0,28,28
Lor4D,28,3,3,3,1,0.09679012345679014,0.09679012345679014,0.09679012345679014,1.0,1.0,0.0,0.0,28,28
Lor4D,28,4,3,3,1,0.2698600101197503,0.2698600101197503,0.2698600101197503,1.0,1.0,0.0,0.0,28,28
Lor4D,28,5,3,3,1,0.263544536271809,0.263544536271809,0.263544536271809,1.0,1.0,0.0,0.0,28,28
Lor4D,28,6,3,3,1,0.09541397353031708,0.09541397353031708,0.09541397353031708,1.0,1.0,0.0,0.0,28,28
Lor4D,28,7,3,3,1,0.18681956742633177,0.18681956742633177,0.18681956742633177,1.0,1.0,0.0,0.0,28,28
Lor5D,28,0,3,3,1,0.05644132653061228,0.05644132653061228,0.05644132653061228,1.0,1.0,0.0,0.0,28,28
Lor5D,28,1,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,28,28
Lor5D,28,2,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,28,28
Lor5D,28,3,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,28,28
Lor5D,28,4,3,3,1,0.11661807580174927,0.11661807580174928,0.11661807580174927,1.0000000000000002,1.0,0.0,0.0,28,28
Lor5D,28,5,3,3,1,0.19988102320047593,0.19988102320047593,0.19988102320047593,1.0,1.0,0.0,0.0,28,28
Lor5D,28,6,3,3,1,0.1061394380853278,0.1061394380853278,0.1061394380853278,1.0,1.0,0.0,0.0,28,28
Lor5D,28,7,3,3,1,0.17190082644628105,0.17190082644628105,0.17190082644628105,1.0,1.0,0.0,0.0,28,28
KR_like,28,0,3,3,1,0.6983858749490124,0.6983858749490123,0.6983858749490124,0.9999999999999999,1.0,0.0,0.0,28,28
KR_like,28,1,3,3,1,0.7158509861212563,0.7158509861212563,0.7158509861212563,1.0,1.0,0.0,0.0,28,28
KR_like,28,2,3,3,1,0.7030174421613788,0.7030174421613788,0.7030174421613788,1.0,1.0,0.0,0.0,28,28
KR_like,28,3,3,3,1,0.7179188345473466,0.7179188345473466,0.7179188345473466,1.0,1.0,0.0,0.0,28,28
KR_like,28,4,3,3,1,0.6941015089163239,0.6941015089163239,0.6941015089163239,1.0,1.0,0.0,0.0,28,28
KR_like,28,5,3,3,1,0.7151020408163264,0.7151020408163264,0.7151020408163264,1.0,1.0,0.0,0.0,28,28
KR_like,28,6,3,3,1,0.7219979188345476,0.7219979188345474,0.7219979188345476,0.9999999999999999,1.0,0.0,0.0,28,28
KR_like,28,7,3,3,1,0.7284463787960292,0.7284463787960292,0.7284463787960292,1.0,1.0,0.0,0.0,28,28
Lor2D,36,0,3,8,3,2.7417687074829935,0.4437338411819021,0.3410180055401662,0.1618421860205925,1.0,0.24323249159955707,0.7132541028567724,5,17
Lor2D,36,1,3,8,3,2.829307056579784,0.25441157133464826,0.2008086785009862,0.08992009924938808,1.0,0.15053267101247989,0.7496322974494382,6,16
Lor2D,36,2,3,10,4,3.2211599984944854,0.421263029590437,0.40485400091449475,0.1307799146230948,0.9722222222222222,0.08690738237673296,0.21466351371216363,1,16
Lor2D,36,3,3,9,3,3.227310752528257,0.4087062231433625,0.4356791163933346,0.12663987278671085,1.0,0.10663860175874183,0.2447640883995634,6,16
Lor2D,36,4,3,10,4,3.7534506927185007,0.3165976467879347,0.3442225857348921,0.08434842301302044,0.9722222222222222,0.17585538506880372,0.5108769510093717,1,15
Lor2D,36,5,3,8,3,3.13074326026707,0.4279546351084813,0.342363708086785,0.1366942606056986,1.0,0.26118033299292026,0.7628738876923084,6,15
Lor2D,36,6,3,9,3,3.231753846153846,0.3654467960023516,0.3522927689594357,0.11308002199402493,1.0,0.11892180954290928,0.33756528666247587,10,13
Lor2D,36,7,3,9,3,2.9984756238393953,0.4589467699463083,0.4627978480558121,0.15306003033589793,1.0,0.2708568622741629,0.5852595542784338,5,16
Lor3D,36,0,3,5,2,0.6661495844875346,0.18905817174515238,0.12603878116343492,0.28380738522954096,1.0,0.12603878116343492,1.0,9,27
Lor3D,36,1,3,4,2,0.5998961218836565,0.3071441596880303,0.34553717964903413,0.5119955747065118,1.0,0.0,0.0,4,32
Lor3D,36,2,3,5,2,1.160261748958953,0.25308215538314377,0.16872143692209585,0.21812505291174356,1.0,0.16872143692209585,1.0,9,27
Lor3D,36,3,3,5,2,0.9952965561224492,0.3557165132538605,0.2462652784065188,0.3573975123953885,1.0,0.2462652784065188,1.0,10,26
Lor3D,36,4,3,4,2,0.6661051658079008,0.25550187869028446,0.32850241545893716,0.3835758853189394,1.0,0.0,0.0,8,28
Lor3D,36,5,3,4,2,0.6978200692041523,0.49996527777777783,0.5454166666666667,0.7164673242315555,1.0,0.0,0.0,3,33
Lor3D,36,6,3,6,2,1.235390796201607,0.4610546987923531,0.4526707223799207,0.3732055477585995,1.0,0.0503038584745952,0.11112682130207623,15,21
Lor3D,36,7,3,4,2,0.6410545154738684,0.30818219471138325,0.3467049690503062,0.48074256911453866,1.0,0.0,0.0,4,32
Lor4D,36,0,3,3,1,0.17742919921875,0.17742919921875,0.17742919921875,1.0,1.0,0.0,0.0,36,36
Lor4D,36,1,3,3,1,0.06980609418282545,0.06980609418282545,0.06980609418282545,1.0,1.0,0.0,0.0,36,36
Lor4D,36,2,3,4,2,0.3949724517906336,0.24068205824656705,0.2625622453598913,0.60936416490674,1.0,0.0,0.0,3,33
Lor4D,36,3,3,4,2,0.16104400944051095,0.08216304411164851,0.08216304411164851,0.5101900058070725,0.9722222222222222,0.0,0.0,1,35
Lor4D,36,4,3,3,1,0.03804393569564852,0.03804393569564852,0.03804393569564852,1.0,1.0,0.0,0.0,36,36
Lor4D,36,5,3,3,1,0.17055393586005835,0.17055393586005835,0.17055393586005835,1.0,1.0,0.0,0.0,36,36
Lor4D,36,6,3,4,2,0.18857142857142856,0.14384028768057536,0.14384028768057536,0.7627894043666875,0.9722222222222222,0.0,0.0,1,35
Lor4D,36,7,3,3,1,0.21683259506162014,0.21683259506162014,0.21683259506162014,1.0,1.0,0.0,0.0,36,36
Lor5D,36,0,3,3,1,0.03698979591836733,0.03698979591836733,0.03698979591836733,1.0,1.0,0.0,0.0,36,36
Lor5D,36,1,3,3,1,0.03631886734379809,0.03631886734379809,0.03631886734379809,1.0,1.0,0.0,0.0,36,36
Lor5D,36,2,3,4,2,0.19562854727689888,0.08399392814977233,0.08399392814977233,0.42935414753596596,0.9722222222222222,0.0,0.0,1,35
Lor5D,36,3,3,3,1,0.07226771092915626,0.07226771092915626,0.07226771092915626,1.0,1.0,0.0,0.0,36,36
Lor5D,36,4,3,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,36,36
Lor5D,36,5,3,3,1,0.040753556324490556,0.040753556324490556,0.040753556324490556,1.0,1.0,0.0,0.0,36,36
Lor5D,36,6,3,3,1,0.05182136869379667,0.05182136869379667,0.05182136869379667,1.0,1.0,0.0,0.0,36,36
Lor5D,36,7,3,3,1,0.06151974040021633,0.06151974040021632,0.06151974040021633,0.9999999999999999,1.0,0.0,0.0,36,36
KR_like,36,0,3,3,1,0.8152531229454306,0.8152531229454306,0.8152531229454306,1.0,1.0,0.0,0.0,36,36
KR_like,36,1,3,3,1,0.8541767563936323,0.8541767563936323,0.8541767563936323,1.0,1.0,0.0,0.0,36,36
KR_like,36,2,3,3,1,0.8270681581685745,0.8270681581685745,0.8270681581685745,1.0,1.0,0.0,0.0,36,36
KR_like,36,3,3,3,1,0.831184036087533,0.831184036087533,0.831184036087533,1.0,1.0,0.0,0.0,36,36
KR_like,36,4,3,3,1,0.8441149437716264,0.8441149437716264,0.8441149437716264,1.0,1.0,0.0,0.0,36,36
KR_like,36,5,3,3,1,0.8351526896697905,0.8351526896697905,0.8351526896697905,1.0,1.0,0.0,0.0,36,36
KR_like,36,6,3,3,1,0.8111437277051129,0.8111437277051129,0.8111437277051129,1.0,1.0,0.0,0.0,36,36
KR_like,36,7,3,3,1,0.8030801071341613,0.8030801071341613,0.8030801071341613,1.0,1.0,0.0,0.0,36,36
Lor2D,16,0,4,5,2,1.2064000000000001,0.7138397502601457,0.8158168574401665,0.5917106683190863,1.0,0.0,0.0,2,14
Lor2D,16,1,4,5,2,1.409438775510204,0.7902249134948097,0.9031141868512111,0.5606663639637384,1.0,0.0,0.0,2,14
Lor2D,16,2,4,5,2,1.203923900118906,0.841209829867675,0.841209829867675,0.6987234241172492,0.9375,0.0,0.0,1,15
Lor2D,16,3,4,4,1,1.2320499479708638,1.2320499479708638,1.2320499479708638,1.0,1.0,0.0,0.0,16,16
Lor2D,16,4,4,6,2,1.1934156378600822,0.5385665972944849,0.3314255983350676,0.451281666008827,1.0,0.3314255983350676,1.0,3,13
Lor2D,16,5,4,7,2,1.4758387196060325,0.5399305555555556,0.5138888888888888,0.36584658498435874,1.0,0.06944444444444439,0.13513513513513506,5,11
Lor2D,16,6,4,6,2,1.3214189733942485,0.4346707818930041,0.2674897119341564,0.3289424403953363,1.0,0.2674897119341564,1.0,3,13
Lor2D,16,7,4,5,2,1.1961552153791384,0.67840576171875,0.8349609375,0.5671552930559431,1.0,0.0,0.0,3,13
Lor3D,16,0,4,4,1,0.3168,0.3168,0.3168,1.0,1.0,0.0,0.0,16,16
Lor3D,16,1,4,4,1,0.6410034602076125,0.6410034602076125,0.6410034602076125,1.0,1.0,0.0,0.0,16,16
Lor3D,16,2,4,3,1,0.33528122717311903,0.33528122717311903,0.33528122717311903,1.0,1.0,0.0,0.0,16,16
Lor3D,16,3,4,3,1,0.4354550862581797,0.4354550862581797,0.4354550862581797,1.0,1.0,0.0,0.0,16,16
Lor3D,16,4,4,4,1,0.41589506172839513,0.41589506172839513,0.41589506172839513,1.0,1.0,0.0,0.0,16,16
Lor3D,16,5,4,3,1,0.39000000000000007,0.39000000000000007,0.39000000000000007,1.0,1.0,0.0,0.0,16,16
Lor3D,16,6,4,3,1,0.22318339100346024,0.22318339100346024,0.22318339100346024,1.0,1.0,0.0,0.0,16,16
Lor3D,16,7,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,0,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,1,4,3,1,0.22265625,0.22265625,0.22265625,1.0,1.0,0.0,0.0,16,16
Lor4D,16,2,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,3,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor4D,16,4,4,3,1,0.11634349030470913,0.11634349030470913,0.11634349030470913,1.0,1.0,0.0,0.0,16,16
Lor4D,16,5,4,3,1,0.11634349030470913,0.11634349030470913,0.11634349030470913,1.0,1.0,0.0,0.0,16,16
Lor4D,16,6,4,3,1,0.12345679012345685,0.12345679012345685,0.12345679012345685,1.0,1.0,0.0,0.0,16,16
Lor4D,16,7,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,0,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,1,4,3,1,0.3125,0.3125,0.3125,1.0,1.0,0.0,0.0,16,16
Lor5D,16,2,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,3,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,4,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,5,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
Lor5D,16,6,4,3,1,0.36734693877551017,0.36734693877551017,0.36734693877551017,1.0,1.0,0.0,0.0,16,16
Lor5D,16,7,4,2,1,0.0,nan,0.0,nan,1.0,0.0,nan,16,16
KR_like,16,0,4,3,1,0.4697542533081286,0.4697542533081286,0.4697542533081286,1.0,1.0,0.0,0.0,16,16
KR_like,16,1,4,3,1,0.5297258810964757,0.5297258810964757,0.5297258810964757,1.0,1.0,0.0,0.0,16,16
KR_like,16,2,4,3,1,0.5196921684019918,0.5196921684019918,0.5196921684019918,1.0,1.0,0.0,0.0,16,16
KR_like,16,3,4,3,1,0.5258774538964901,0.5258774538964901,0.5258774538964901,1.0,1.0,0.0,0.0,16,16
KR_like,16,4,4,3,1,0.5655991735537191,0.5655991735537191,0.5655991735537191,1.0,1.0,0.0,0.0,16,16
KR_like,16,5,4,3,1,0.5722046174739702,0.5722046174739702,0.5722046174739702,1.0,1.0,0.0,0.0,16,16
KR_like,16,6,4,3,1,0.5367805478608803,0.5367805478608803,0.5367805478608803,1.0,1.0,0.0,0.0,16,16
KR_like,16,7,4,3,1,0.5562130177514794,0.5562130177514794,0.5562130177514794,1.0,1.0,0.0,0.0,16,16
Lor2D,20,0,4,6,2,1.8183593749999998,0.7308149910767401,0.48720999405116,0.4019089961668002,1.0,0.48720999405116,1.0,5,15
Lor2D,20,1,4,5,2,1.4379084967320266,0.64768,0.8096,0.4504319999999999,1.0,0.0,0.0,4,16
Lor2D,20,2,4,6,2,1.4658203125,0.9174603174603175,0.5396825396825398,0.6259023085139008,1.0,0.5396825396825398,1.0,3,17
Lor2D,20,3,4,7,2,1.743285123966942,0.5061213991769548,0.447809499314129,0.2903262307575065,1.0,0.291559499314129,0.6510793088594267,8,12
Lor2D,20,4,4,5,2,1.595245383124171,1.0305098194802618,1.1450109105336241,0.6459882789079658,1.0,0.0,0.0,2,18
Lor2D,20,5,4,6,2,1.4139979338842972,0.4246618106139438,0.3033298647242456,0.3003270375702632,1.0,0.3033298647242456,1.0,6,14
Lor2D,20,6,4,6,2,1.5969085859195749,0.2761904761904762,0.19727891156462585,0.17295321637426903,1.0,0.19727891156462585,1.0,6,14
Lor2D,20,7,4,6,2,1.6188,0.8570414201183434,0.5041420118343196,0.5294300840859546,1.0,0.5041420118343196,1.0,3,17
