n,pair_mlr_seed,pair_lor_seed,family,seed,layer_count,mean_layer_size,layer_size_std,cover_density,reduction_edge_count,reduction_edge_density,layer_signature_redundancy,adjacent_edge_fraction,long_edge_fraction,mean_layer_gap
30,1061066,1060018,multi_layer_random,1061066,5.0,6.0,2.0976176963403033,0.15172413793103448,66.0,0.15172413793103448,0.0,0.24489795918367346,0.7551020408163265,2.193877551020408
30,1061066,1060018,lorentzian_like_2d,1060018,7.0,4.285714285714286,1.3850513878332367,0.12183908045977011,53.0,0.12183908045977011,0.0,0.16243654822335024,0.8375634517766497,3.2436548223350252
30,1061194,1060020,multi_layer_random,1061194,5.0,6.0,1.2649110640673518,0.15632183908045977,68.0,0.15632183908045977,0.0,0.20187793427230047,0.7981220657276995,2.460093896713615
30,1061194,1060020,lorentzian_like_2d,1060020,8.0,3.75,1.299038105676658,0.13793103448275862,60.0,0.13793103448275862,0.03125,0.13953488372093023,0.8604651162790697,3.655813953488372
30,1062707,1060000,multi_layer_random,1062707,5.0,6.0,1.2649110640673518,0.15862068965517243,69.0,0.15862068965517243,0.0,0.21982758620689655,0.7801724137931034,2.353448275862069
30,1062707,1060000,lorentzian_like_2d,1060000,8.0,3.75,1.479019945774904,0.14942528735632185,65.0,0.14942528735632185,0.05238095238095237,0.16017316017316016,0.8398268398268398,3.432900432900433
30,1062306,1060007,multi_layer_random,1062306,5.0,6.0,1.6733200530681511,0.15862068965517243,69.0,0.15862068965517243,0.025,0.21782178217821782,0.7821782178217822,2.400990099009901
30,1062306,1060007,lorentzian_like_2d,1060007,8.0,3.75,0.9682458365518543,0.12873563218390804,56.0,0.12873563218390804,0.03125,0.1461187214611872,0.8538812785388128,3.6392694063926943
30,1061035,1060008,multi_layer_random,1061035,5.0,6.0,1.4142135623730951,0.15632183908045977,68.0,0.15632183908045977,0.0,0.24615384615384617,0.7538461538461538,2.3794871794871795
30,1061035,1060008,lorentzian_like_2d,1060008,9.0,3.3333333333333335,1.247219128924647,0.15402298850574714,67.0,0.15402298850574714,0.09166666666666666,0.18141592920353983,0.8185840707964602,3.4646017699115044
30,1062643,1060014,multi_layer_random,1062643,5.0,6.0,1.4142135623730951,0.19080459770114944,83.0,0.19080459770114944,0.0,0.1941747572815534,0.8058252427184466,2.4223300970873787
30,1062643,1060014,lorentzian_like_2d,1060014,8.0,3.75,1.299038105676658,0.1310344827586207,57.0,0.1310344827586207,0.0,0.13274336283185842,0.8672566371681416,3.561946902654867
40,1161284,1160017,multi_layer_random,1161284,5.0,8.0,1.0954451150103321,0.1358974358974359,106.0,0.1358974358974359,0.0,0.19638242894056848,0.8036175710594315,2.452196382428941
40,1161284,1160017,lorentzian_like_2d,1160017,9.0,4.444444444444445,1.2570787221094177,0.11794871794871795,92.0,0.11794871794871795,0.0,0.12727272727272726,0.8727272727272727,3.7766233766233768
40,1162218,1160005,multi_layer_random,1162218,5.0,8.0,1.2649110640673518,0.14615384615384616,114.0,0.14615384615384616,0.0,0.23095823095823095,0.769041769041769,2.3316953316953315
40,1162218,1160005,lorentzian_like_2d,1160005,8.0,5.0,1.5811388300841898,0.11666666666666667,91.0,0.11666666666666667,0.059523809523809534,0.14742014742014742,0.8525798525798526,3.5626535626535625
40,1162651,1160011,multi_layer_random,1162651,5.0,8.0,1.2649110640673518,0.1358974358974359,106.0,0.1358974358974359,0.0,0.19900497512437812,0.8009950248756219,2.4129353233830844
40,1162651,1160011,lorentzian_like_2d,1160011,8.0,5.0,1.7320508075688772,0.10256410256410256,80.0,0.10256410256410256,0.013888888888888895,0.10327455919395466,0.8967254408060453,3.853904282115869
40,1162022,1160009,multi_layer_random,1162022,5.0,8.0,1.2649110640673518,0.13846153846153847,108.0,0.13846153846153847,0.0,0.20103092783505155,0.7989690721649485,2.4149484536082473
40,1162022,1160009,lorentzian_like_2d,1160009,8.0,5.0,1.5811388300841898,0.12179487179487179,95.0,0.12179487179487179,0.0,0.13648293963254593,0.863517060367454,3.406824146981627
40,1162273,1160004,multi_layer_random,1162273,5.0,8.0,2.0976176963403033,0.14871794871794872,116.0,0.14871794871794872,0.0,0.22135416666666666,0.7786458333333334,2.2447916666666665
40,1162273,1160004,lorentzian_like_2d,1160004,8.0,5.0,1.4142135623730951,0.11666666666666667,91.0,0.11666666666666667,0.0,0.125,0.875,3.5208333333333335
40,1162062,1160000,multi_layer_random,1162062,5.0,8.0,1.8973665961010275,0.15384615384615385,120.0,0.15384615384615385,0.0,0.22015915119363394,0.7798408488063661,2.3448275862068964
40,1162062,1160000,lorentzian_like_2d,1160000,8.0,5.0,2.1213203435596424,0.13076923076923078,102.0,0.13076923076923078,0.023809523809523805,0.158311345646438,0.841688654353562,3.1556728232189974
40,1161492,1160002,multi_layer_random,1161492,5.0,8.0,0.6324555320336759,0.14615384615384616,114.0,0.14615384615384616,0.0,0.21298701298701297,0.787012987012987,2.3844155844155845
40,1161492,1160002,lorentzian_like_2d,1160002,8.0,5.0,1.224744871391589,0.11923076923076924,93.0,0.11923076923076924,0.07083333333333332,0.14666666666666667,0.8533333333333334,3.3893333333333335
40,1162737,1160008,multi_layer_random,1162737,5.0,8.0,1.4142135623730951,0.13333333333333333,104.0,0.13333333333333333,0.0,0.20048899755501223,0.7995110024449877,2.469437652811736
40,1162737,1160008,lorentzian_like_2d,1160008,11.0,3.6363636363636362,1.822721605069402,0.13333333333333333,104.0,0.13333333333333333,0.027777777777777776,0.12655086848635236,0.8734491315136477,4.138957816377172
40,1162750,1160003,multi_layer_random,1162750,5.0,8.0,2.0,0.14358974358974358,112.0,0.14358974358974358,0.022222222222222233,0.19617224880382775,0.8038277511961722,2.4569377990430623
40,1162750,1160003,lorentzian_like_2d,1160003,7.0,5.714285714285714,1.3850513878332367,0.1371794871794872,107.0,0.1371794871794872,0.06462585034013604,0.15587529976019185,0.8441247002398081,3.2949640287769784
40,1163715,1160006,multi_layer_random,1163715,5.0,8.0,1.0954451150103321,0.15,117.0,0.15,0.0,0.2034313725490196,0.7965686274509803,2.3970588235294117
40,1163715,1160006,lorentzian_like_2d,1160006,10.0,4.0,1.61245154965971,0.11794871794871795,92.0,0.11794871794871795,0.027777777777777776,0.11666666666666667,0.8833333333333333,4.223809523809524
40,1163545,1160007,multi_layer_random,1163545,5.0,8.0,1.6733200530681511,0.14615384615384616,114.0,0.14615384615384616,0.019999999999999997,0.20603015075376885,0.7939698492462312,2.371859296482412
40,1163545,1160007,lorentzian_like_2d,1160007,8.0,5.0,1.9364916731037085,0.11794871794871795,92.0,0.11794871794871795,0.08979591836734693,0.13984168865435356,0.8601583113456465,3.3139841688654355
40,1162828,1160015,multi_layer_random,1162828,5.0,8.0,0.6324555320336759,0.14102564102564102,110.0,0.14102564102564102,0.025,0.2074074074074074,0.7925925925925926,2.365432098765432
40,1162828,1160015,lorentzian_like_2d,1160015,10.0,4.0,1.5491933384829668,0.1141025641025641,89.0,0.1141025641025641,0.0,0.12745098039215685,0.8725490196078431,3.965686274509804
44,1303074,1300004,multi_layer_random,1303074,5.0,8.8,1.8330302779823362,0.13742071881606766,130.0,0.13742071881606766,0.0,0.19607843137254902,0.803921568627451,2.4618736383442266
44,1303074,1300004,lorentzian_like_2d,1300004,11.0,4.0,1.5954480704349312,0.10676532769556026,101.0,0.10676532769556026,0.036363636363636355,0.10652173913043478,0.8934782608695652,4.341304347826087
44,1302405,1300003,multi_layer_random,1302405,5.0,8.8,2.3151673805580453,0.14059196617336153,133.0,0.14059196617336153,0.0,0.22269807280513917,0.7773019271948608,2.297644539614561
44,1302405,1300003,lorentzian_like_2d,1300003,8.0,5.5,2.5,0.12684989429175475,120.0,0.12684989429175475,0.05208333333333333,0.17872340425531916,0.8212765957446808,2.9361702127659575
44,1301975,1300005,multi_layer_random,1301975,5.0,8.8,2.1354156504062622,0.13847780126849896,131.0,0.13847780126849896,0.0,0.20726495726495728,0.7927350427350427,2.358974358974359
44,1301975,1300005,lorentzian_like_2d,1300005,9.0,4.888888888888889,1.9688939051854832,0.113107822410148,107.0,0.113107822410148,0.05133928571428571,0.11691022964509394,0.8830897703549061,3.7515657620041756
44,1302840,1300006,multi_layer_random,1302840,5.0,8.8,1.8330302779823362,0.13424947145877378,127.0,0.13424947145877378,0.0,0.2012847965738758,0.7987152034261242,2.4882226980728053
44,1302840,1300006,lorentzian_like_2d,1300006,8.0,5.5,2.0,0.12367864693446089,117.0,0.12367864693446089,0.0,0.12555066079295155,0.8744493392070485,3.6211453744493394
44,1302722,1300002,multi_layer_random,1302722,5.0,8.8,1.7204650534085253,0.13424947145877378,127.0,0.13424947145877378,0.0,0.2076271186440678,0.7923728813559322,2.360169491525424
44,1302722,1300002,lorentzian_like_2d,1300002,9.0,4.888888888888889,2.1829869671542776,0.10253699788583509,97.0,0.10253699788583509,0.0,0.11850311850311851,0.8814968814968815,3.812889812889813
44,1302464,1300001,multi_layer_random,1302464,5.0,8.8,1.1661903789690602,0.1331923890063425,126.0,0.1331923890063425,0.0,0.20386266094420602,0.796137339055794,2.412017167381974
44,1302464,1300001,lorentzian_like_2d,1300001,11.0,4.0,1.4142135623730951,0.09302325581395349,88.0,0.09302325581395349,0.045454545454545456,0.10772357723577236,0.8922764227642277,4.752032520325203
48,1441976,1440004,multi_layer_random,1441976,5.0,9.6,0.7999999999999999,0.12411347517730496,140.0,0.12411347517730496,0.0,0.19798657718120805,0.802013422818792,2.4161073825503356
48,1441976,1440004,lorentzian_like_2d,1440004,10.0,4.8,1.7776388834631178,0.10549645390070922,119.0,0.10549645390070922,0.0,0.1111111111111111,0.8888888888888888,4.193602693602694
48,1442087,1440003,multi_layer_random,1442087,5.0,9.6,1.3564659966250536,0.14095744680851063,159.0,0.14095744680851063,0.0,0.2138157894736842,0.7861842105263158,2.3273026315789473
48,1442087,1440003,lorentzian_like_2d,1440003,11.0,4.363636363636363,1.7200807207658637,0.0975177304964539,110.0,0.0975177304964539,0.0,0.10847457627118644,0.8915254237288136,4.489830508474577
48,1444467,1440002,multi_layer_random,1444467,5.0,9.6,1.0198039027185568,0.13918439716312056,157.0,0.13918439716312056,0.0,0.18317757009345795,0.8168224299065421,2.457943925233645
48,1444467,1440002,lorentzian_like_2d,1440002,11.0,4.363636363636363,1.4937887931959075,0.10726950354609929,121.0,0.10726950354609929,0.03571428571428572,0.09466437177280551,0.9053356282271945,4.664371772805508
48,1441627,1440005,multi_layer_random,1441627,5.0,9.6,1.019803902718557,0.12677304964539007,143.0,0.12677304964539007,0.0,0.17636022514071295,0.8236397748592871,2.5328330206378986
48,1441627,1440005,lorentzian_like_2d,1440005,11.0,4.363636363636363,1.7200807207658637,0.10106382978723404,114.0,0.10106382978723404,0.016666666666666663,0.1024793388429752,0.8975206611570248,4.568595041322314
52,1991256,1980001,multi_layer_random,1991256,5.0,10.4,0.7999999999999999,0.12895927601809956,171.0,0.12895927601809956,0.0,0.17835365853658536,0.8216463414634146,2.524390243902439
52,1991256,1980001,lorentzian_like_2d,1980001,10.0,5.2,2.4413111231467406,0.11236802413273002,149.0,0.11236802413273002,0.0,0.10845295055821372,0.8915470494417863,3.8803827751196174
52,1991364,1980006,multi_layer_random,1991364,5.0,10.4,1.0198039027185568,0.1244343891402715,165.0,0.1244343891402715,0.0,0.1924198250728863,0.8075801749271136,2.4285714285714284
52,1991364,1980006,lorentzian_like_2d,1980006,9.0,5.777777777777778,1.1331154474650633,0.1048265460030166,139.0,0.1048265460030166,0.0685185185185185,0.10751104565537556,0.8924889543446245,4.128129602356407
52,1993600,1980003,multi_layer_random,1993600,5.0,10.4,1.2,0.1244343891402715,165.0,0.1244343891402715,0.0,0.19558823529411765,0.8044117647058824,2.4220588235294116
52,1993600,1980003,lorentzian_like_2d,1980003,10.0,5.2,2.6,0.10633484162895927,141.0,0.10633484162895927,0.027777777777777776,0.11244377811094453,0.8875562218890555,4.229385307346327
52,1992765,1980005,multi_layer_random,1992765,5.0,10.4,1.624807680927192,0.13122171945701358,174.0,0.13122171945701358,0.0,0.20600858369098712,0.7939914163090128,2.3705293276108725
52,1992765,1980005,lorentzian_like_2d,1980005,14.0,3.7142857142857144,1.6659862556700857,0.09276018099547512,123.0,0.09276018099547512,0.05384615384615384,0.10486322188449848,0.8951367781155015,5.7097264437689965
52,1986866,1980000,multi_layer_random,1986866,5.0,10.4,1.0198039027185568,0.1334841628959276,177.0,0.1334841628959276,0.0,0.1988388969521045,0.8011611030478955,2.3730043541364294
52,1986866,1980000,lorentzian_like_2d,1980000,11.0,4.7272727272727275,1.9112541856026035,0.10030165912518854,133.0,0.10030165912518854,0.01428571428571429,0.10873146622734761,0.8912685337726524,4.378912685337727
52,1981292,1980004,multi_layer_random,1981292,5.0,10.4,1.3564659966250536,0.13725490196078433,182.0,0.13725490196078433,0.0,0.21153846153846154,0.7884615384615384,2.3502747252747254
52,1981292,1980004,lorentzian_like_2d,1980004,10.0,5.2,1.8330302779823358,0.09653092006033183,128.0,0.09653092006033183,0.09166666666666665,0.12244897959183673,0.8775510204081632,3.9701726844583987
56,2159786,2120006,multi_layer_random,2159786,5.0,11.2,0.7483314773547882,0.11753246753246753,181.0,0.11753246753246753,0.0,0.1832258064516129,0.8167741935483871,2.458064516129032
56,2159786,2120006,lorentzian_like_2d,2120006,10.0,5.6,2.2891046284519194,0.1,154.0,0.1,0.08377425044091712,0.09740259740259741,0.9025974025974026,4.2623376623376625
56,2137706,2120007,multi_layer_random,2137706,5.0,11.2,0.7483314773547882,0.11948051948051948,184.0,0.11948051948051948,0.0,0.17276166456494324,0.8272383354350568,2.490542244640605
56,2137706,2120007,lorentzian_like_2d,2120007,9.0,6.222222222222222,1.6850834320114558,0.10649350649350649,164.0,0.10649350649350649,0.0791446208112875,0.09987515605493133,0.9001248439450686,3.850187265917603
56,2142406,2120008,multi_layer_random,2142406,5.0,11.2,0.7483314773547882,0.12272727272727273,189.0,0.12272727272727273,0.0,0.1922141119221411,0.8077858880778589,2.3686131386861313
56,2142406,2120008,lorentzian_like_2d,2120008,12.0,4.666666666666667,1.5456030825826172,0.09220779220779221,142.0,0.09220779220779221,0.0,0.0821256038647343,0.9178743961352657,5.091787439613527
56,2139721,2120000,multi_layer_random,2139721,5.0,11.2,0.9797958971132712,0.12402597402597403,191.0,0.12402597402597403,0.0,0.18135376756066413,0.8186462324393359,2.4329501915708813
56,2139721,2120000,lorentzian_like_2d,2120000,10.0,5.6,1.5620499351813308,0.09220779220779221,142.0,0.09220779220779221,0.025,0.09128065395095368,0.9087193460490464,4.524523160762943
56,2134214,2120001,multi_layer_random,2134214,5.0,11.2,0.7483314773547882,0.12857142857142856,198.0,0.12857142857142856,0.0,0.17939393939393938,0.8206060606060606,2.4412121212121214
56,2134214,2120001,lorentzian_like_2d,2120001,12.0,4.666666666666667,1.247219128924647,0.08961038961038961,138.0,0.08961038961038961,0.0,0.0773955773955774,0.9226044226044227,4.957002457002457
56,2166120,2120002,multi_layer_random,2166120,5.0,11.2,1.1661903789690602,0.1292207792207792,199.0,0.1292207792207792,0.0,0.2004920049200492,0.7995079950799509,2.355473554735547
56,2166120,2120002,lorentzian_like_2d,2120002,10.0,5.6,1.8547236990991407,0.09935064935064936,153.0,0.09935064935064936,0.0,0.10186335403726708,0.8981366459627329,4.395031055900621
